ID,Consumer Type,Consumption (kWh),Generation (kWh),Date
040c365a-09ac-453c-a7c7-17018173ae68,Підприємство,1722.33,1129.17,2025-01-27
54d5ca85-7bb9-4554-bef7-6c50699733f1,Домогосподарство,446.26,264.29,2025-01-31
8954b638-c83b-4b83-91fa-1db6b9b10792,Домогосподарство,491.01,107.9,2025-02-11
bebcb93e-97cf-4fa5-bf77-c6e031feaf01,Підприємство,4066.21,2895.63,2025-01-31
6b0e032f-8e6a-4c8d-ae69-9dd1520cb22e,Домогосподарство,247.08,226.57,2025-01-10
c78f84ba-e532-421b-8de1-3a4aaaa9e3da,Підприємство,4513.95,4148.03,2025-02-17
016d4f32-9dcc-4562-91a7-7345bcf29c01,Домогосподарство,331.7,99.27,2025-02-20
ec6e5b43-9381-4ea4-8687-70ed2f5e8dd1,Домогосподарство,135.26,116.07,2025-02-13
3e4fd37e-9e66-49e0-a74f-bcd2f11a3dbf,Домогосподарство,316.58,31.33,2025-02-14
a7d77d2b-3cab-489a-b509-ab2ae1eeaffb,Підприємство,2474.15,246.23,2025-02-05
2b7eb94b-6f81-40e0-91d3-e4715a607bab,Домогосподарство,154.29,53.05,2025-01-29
a6aeca8c-b0d2-4704-a27d-cab4d330f3ba,Підприємство,1527.68,1495.34,2025-02-11
59314229-7d8a-40fb-93ca-62b6b40d3456,Підприємство,1881.33,1772.98,2025-02-03
44387b5f-4e03-4da4-bb91-cad3813229e6,Підприємство,1333.66,1132.59,2025-01-16
32452d57-afcc-4b4d-a2e7-37ae6f005faa,Домогосподарство,302.79,214.56,2025-02-16
273fa487-af71-4993-ad66-bcd84eea479b,Домогосподарство,103.13,8.49,2025-02-24
38391877-6a52-45c0-94ea-7377c85db3f0,Домогосподарство,236.78,46.18,2025-01-25
858832b5-f820-47ae-b6f6-28d56a0c80a8,Домогосподарство,437.25,92.73,2025-01-30
24454319-e92f-4eac-bad9-7422a6d1f684,Підприємство,2434.91,80.57,2025-02-21
df9832d2-a6a5-401a-9941-eccb41a1277e,Домогосподарство,150.46,22.12,2025-02-24
2a59ac0e-5d06-4911-85b3-3bba66b2b426,Підприємство,2721.02,1892.06,2025-02-05
cab58e72-2a48-488c-b089-78cc9de4fbf0,Домогосподарство,147.75,22.68,2025-02-10
43b3f5a3-6aa8-4349-957b-0f538c5b7dd4,Домогосподарство,402.84,197.58,2025-02-16
a2d1b6f6-efec-451d-8eb0-e151ae854f97,Домогосподарство,95.88,18.47,2025-01-28
ed3c1512-ed0f-4dcf-a02b-b92785408dd6,Домогосподарство,246.93,16.34,2025-02-08
110791e5-b040-4819-8d92-420c4e957832,Домогосподарство,121.3,6.49,2025-02-05
6f324e6d-f28d-4c30-9d26-01c25d7c2b14,Домогосподарство,385.36,187.84,2025-02-17
02a45352-e7f2-4d65-9abb-6d20f26b2fbf,Підприємство,1639.55,47.26,2025-01-08
4844e076-687b-4561-8321-ebea89f5a05d,Домогосподарство,450.73,18.09,2025-01-03
b9c3f06c-3cdc-42a8-ba18-a6d318dbbca5,Підприємство,2714.31,840.8,2025-02-18
8a002708-6767-4998-b926-954a2c69f3ae,Підприємство,4019.74,3690.29,2025-02-10
bfcf3658-5a40-4558-aefe-bf3e199600a0,Домогосподарство,127.18,32.34,2025-02-08
99c42762-cdc5-4736-b004-e8300dd16206,Підприємство,3557.95,2588.01,2025-01-31
4ea8f84a-dc0c-44c4-96e5-48f512330fb6,Підприємство,4071.53,1899.77,2025-02-05
631f2961-21df-4d19-b01a-ff01ad14f15d,Підприємство,1994.93,1571.95,2025-02-09
0d9512b9-bd17-432e-9ec0-3e484446320a,Підприємство,4999.75,2895.02,2025-01-20
fda6383b-47a5-4b91-aa3b-b24568dce292,Домогосподарство,95.09,11.01,2025-01-05
096fdb9d-0df4-4f5b-b0c2-b5208982c202,Домогосподарство,370.06,212.42,2025-03-01
6fc53ae0-28f9-4750-badc-fe272493dbee,Підприємство,3254.57,117.42,2025-01-24
f3a6ff71-97fc-4ba5-bf17-16e35f63e0df,Підприємство,1696.3,1547.86,2025-02-09
2a9b5967-8301-4a77-918d-5dd50a38af33,Підприємство,1093.29,930.75,2025-01-08
69a7baaf-3116-4604-b9b3-0e816533a52b,Підприємство,4257.24,1598.7,2025-02-09
a89d5264-56f4-41df-9246-f173105528d1,Підприємство,3999.8,617.22,2025-01-06
f60cad31-f227-484f-ba57-799d85b01604,Домогосподарство,390.59,322.4,2025-02-05
6d15565c-d461-466b-bf87-58fba4b4d4b4,Підприємство,3849.07,3607.01,2025-01-25
0402f603-596a-4fc7-82ac-efd23625e09d,Підприємство,1777.46,1013.39,2025-03-03
c4794326-3d5e-402f-ad7e-2caebe62eb21,Підприємство,2424.77,1985.7,2025-01-21
e37b0219-1a1c-42ca-b00d-0124c353d2c9,Домогосподарство,475.88,8.92,2025-02-04
6865d0ad-e225-4434-b2a9-b70514cb9cd0,Підприємство,2531.19,2126.92,2025-01-06
345cc2df-c0fc-411c-9433-d0d1c8f47c0c,Підприємство,1564.23,1389.97,2025-02-21
93f2b496-d0bc-46bd-a40a-1f20cf75fe94,Підприємство,1179.73,940.64,2025-02-28
53bf891d-de9b-4dec-90c6-4bc6ed0791f8,Домогосподарство,195.29,79.51,2025-02-27
f62645ae-04e7-4c9f-ab3e-51290bb1b02e,Домогосподарство,454.91,375.88,2025-01-24
4941cb3c-b8ab-4d5c-87a1-fef28afd4686,Домогосподарство,408.56,23.44,2025-01-03
662ed013-0bdb-4f5c-bcba-b655379e6f27,Домогосподарство,487.04,447.39,2025-01-03
53a7fc8f-fb46-426c-afd7-187fc443f6fb,Домогосподарство,95.66,2.0,2025-01-11
4de4fc3b-b64c-445b-a8bc-42d8426e1a0f,Підприємство,1324.53,776.37,2025-01-18
beccdb33-5e08-4ddb-90b9-4305ffc03670,Підприємство,1584.22,1236.63,2025-02-08
7914598b-e246-42b9-8037-a50eb01f2597,Домогосподарство,492.02,5.9,2025-01-04
95185df7-3237-4d51-82bc-b4890667bf60,Домогосподарство,224.13,218.2,2025-01-31
ba21b62d-36bb-4f24-bb29-1a8aee0cb352,Підприємство,3394.8,442.16,2025-03-01
cff09cd9-22fa-467b-b436-27aef54bf86a,Підприємство,3796.69,1054.45,2025-02-11
97aa4b14-5ee2-47be-8f7c-d3eb6917f010,Домогосподарство,99.28,2.74,2025-01-30
e19ddd02-e8bb-4698-952e-71b25fda0b3f,Домогосподарство,358.63,197.31,2025-02-15
bebb8da5-ddac-48ff-8bd9-698b71900360,Підприємство,4116.29,2985.73,2025-01-21
83b7cc8c-ba88-4ba1-88a7-9d3315fe6cbd,Домогосподарство,141.43,22.95,2025-02-23
06b8cafb-0ed8-4dc4-8c54-5500e3e6b398,Підприємство,4946.79,2238.09,2025-01-11
ca94bccd-93b2-4cb3-a942-4b8a6b71862d,Домогосподарство,421.39,194.2,2025-02-02
c049d4b0-d57c-4942-9ec9-7e46ee66e46a,Домогосподарство,64.26,47.76,2025-01-27
5123beaa-5a43-427d-a6a0-30f5d96bb4e1,Підприємство,3454.35,2575.54,2025-02-09
436745f9-2a04-4819-a824-2f03df398c20,Підприємство,2861.82,1748.16,2025-01-15
ca4ee950-98f9-44ca-972b-71d9a3916cc6,Підприємство,2572.37,523.09,2025-02-01
762f7dcc-6b20-4965-ae64-11fc3d47f280,Підприємство,4016.82,2056.98,2025-02-16
f2330e90-9e9a-440c-a4c8-16fd965659b3,Підприємство,3239.26,2096.54,2025-02-10
6a0864b4-483a-4504-8fbe-6939c8e35658,Домогосподарство,489.93,268.63,2025-01-09
69f2dc3b-65bb-411c-a5ee-6fd02ec6a2ac,Підприємство,3935.13,1914.35,2025-01-05
cd2d071a-cd56-4b89-9334-21cc29f817e8,Домогосподарство,178.67,26.47,2025-01-26
3ba7a97a-f52a-4365-b94f-e181ecb2e159,Домогосподарство,242.06,171.0,2025-01-03
77292abb-5284-4136-9582-89daa47c54f9,Підприємство,3061.64,630.6,2025-02-21
b94ef9d7-b51b-4ef1-91fe-c946c10704f4,Домогосподарство,343.59,10.7,2025-01-04
ee7531af-a91d-4010-b3c0-9791c5013f4b,Підприємство,3919.73,1110.08,2025-02-22
c8981149-76b2-4c11-a576-0f64ba48d899,Домогосподарство,296.6,92.47,2025-01-06
664a358a-dff9-4f68-ade9-a7e8ed5c44df,Підприємство,3375.53,419.72,2025-02-17
ca8674af-6069-44ac-8b9a-336e94b83da2,Підприємство,3670.2,630.42,2025-01-05
85870fd7-ca77-4cb5-ae82-3d2ff870b276,Підприємство,1929.77,1739.05,2025-02-15
fda85ee6-ed15-4e2d-b319-7e76db93bb6e,Домогосподарство,362.05,167.27,2025-01-15
9c973b2b-eae8-440d-ad08-617ae0f22b6e,Домогосподарство,411.76,20.52,2025-01-31
11557343-fef9-466e-a325-131f790d596c,Підприємство,1744.52,182.4,2025-02-23
ac2eeab2-76df-4c2f-bc1b-c8b1d0a4342d,Домогосподарство,229.09,140.76,2025-01-05
b22a55a7-5285-479d-9d9d-e6c9c81f3bb8,Підприємство,4942.93,2265.11,2025-01-05
e70cba2a-d6d6-4eff-85aa-034c20926d6f,Підприємство,2426.68,1434.01,2025-02-02
15f39809-355a-445f-be5c-58fc3c910559,Домогосподарство,221.06,158.68,2025-01-08
cd93cb56-671a-4b79-a783-25ab5b2662ec,Підприємство,1542.92,822.8,2025-01-31
4225667b-c0ec-4af6-a4c6-3891fdde4962,Підприємство,1022.8,365.91,2025-01-24
6949ce11-b5e7-4244-a53b-d226fa53408c,Підприємство,3036.2,634.41,2025-01-31
26fbb439-f682-4e3d-a82c-41b6056a2e66,Домогосподарство,422.39,172.57,2025-01-10
b0e1bce3-26fe-4ac3-81e1-dac21bcafe59,Підприємство,1531.18,1083.48,2025-02-04
4595baff-4b10-4e8d-8ae0-4b4e7e4b60fc,Домогосподарство,195.81,0.88,2025-02-15
3583b5ec-3648-4bf4-98dd-a5bb35822117,Підприємство,1137.91,12.9,2025-03-01
9dd7f34e-e559-46c9-b359-13a1c498b3ec,Підприємство,2610.94,1906.75,2025-01-28
70ff9812-7525-4e9c-a9e7-d8ef16bc08ff,Підприємство,4530.97,1539.44,2025-02-13
a79e005b-8e83-4283-a376-e3279f75e1ff,Домогосподарство,354.26,260.37,2025-03-02
9790b555-e8db-4058-9cd1-60cf5e99b464,Підприємство,2229.06,1283.19,2025-01-24
f1aeb290-befc-43af-a7da-9ef96f4665ca,Підприємство,1280.52,1248.21,2025-02-25
7cd671d9-675e-4a52-8075-cdeb1b8cfd2e,Підприємство,3961.47,2216.82,2025-01-07
ea1e3c7c-a33b-47d1-93c3-8c008a38e223,Домогосподарство,426.78,319.6,2025-03-01
c634bf43-fe17-4cd7-a4a9-400df6ce1415,Підприємство,2379.17,2320.62,2025-01-30
73d4ee95-c8e2-42a9-bb2a-de488f7602e7,Підприємство,1448.93,330.25,2025-02-04
83a225e2-c4f7-4c4e-905e-8a23ba7f5c4f,Домогосподарство,433.85,168.03,2025-01-29
7137cadb-af21-44c3-8800-0fc4c176568a,Підприємство,2149.06,986.83,2025-02-10
a4904a22-929f-4a76-9679-baa469b3c82d,Підприємство,4295.78,2619.62,2025-01-02
5bb4bdad-8c1e-4a6a-bf1b-d1fad68d669d,Підприємство,1301.01,924.44,2025-01-16
79d852c4-080a-4081-bcc4-46f558e8a69c,Підприємство,2351.4,1133.58,2025-01-02
115c10a6-fe69-428e-9ba2-1de9ce4358c8,Підприємство,4437.73,2884.64,2025-02-02
1e5f9440-fea0-4168-b978-7f5a4673fe6f,Домогосподарство,427.3,362.1,2025-02-21
9e7575fc-ccc6-4378-99ba-d96e2a715394,Домогосподарство,190.53,65.02,2025-01-06
357b13e9-00f6-4323-95d3-a6d2066529e0,Домогосподарство,173.72,124.8,2025-02-17
7e961407-5d9d-491d-a75d-288dd750a155,Підприємство,2116.03,687.99,2025-02-15
156acb00-2778-4fc3-b560-354baa87b891,Домогосподарство,169.43,149.92,2025-01-29
d649f82c-3f2b-4d0b-bcf7-1005db0e3805,Підприємство,4806.86,460.41,2025-01-24
d0bb14d0-9e4a-4e45-a9c5-78b23b2bcd2d,Підприємство,4376.61,3406.1,2025-02-13
a8c33834-5f8a-4725-973a-a554c3d85e6b,Підприємство,4710.85,1893.88,2025-01-29
3bb56fe1-4cb1-452f-9f89-b681ef3572b8,Підприємство,2861.68,312.45,2025-01-05
242be175-2b82-4698-bcb5-2f5cc4235c01,Домогосподарство,485.03,70.39,2025-01-21
ab1e29e1-26e9-46b4-80e9-3ef0300baf16,Підприємство,1877.1,685.3,2025-02-01
1373ac92-39f4-4453-bf03-245023bb35bf,Підприємство,3237.93,1203.89,2025-01-03
639e391d-99f7-489d-8311-2c84ba038a25,Підприємство,1583.97,220.99,2025-01-13
d13f591b-d3fe-4461-b169-487c1ef6d28c,Підприємство,2994.67,1848.97,2025-01-28
f5866f16-aa12-44e5-8c3f-c65202bb59eb,Домогосподарство,466.84,85.05,2025-02-05
ecec22a2-43ea-4ad5-bb6c-132fd84a4a30,Домогосподарство,260.75,177.91,2025-01-28
bb54e58e-15e3-4d09-9ced-015f9dc967a7,Підприємство,4204.65,2258.15,2025-01-19
cbfd7fc0-0cba-47b1-b272-f30c83910777,Домогосподарство,246.24,111.38,2025-02-14
48b6f5a4-d291-4a8e-b27c-e2b88e8bf598,Підприємство,3990.72,1358.44,2025-01-09
5688b3a0-f7f1-45cd-bd65-8d6ca3395780,Підприємство,1486.62,775.11,2025-01-06
8540966b-0a4d-48fb-82fa-d7708a457f40,Домогосподарство,136.18,34.49,2025-01-09
7545862e-2095-418b-9306-57f6f0ed8710,Підприємство,2752.78,266.18,2025-01-04
b772ea3b-47b0-400a-b1eb-5395bf6ed9d7,Підприємство,2569.76,97.46,2025-02-05
619c7f1b-27be-4095-90f5-efb19b84d3a3,Домогосподарство,453.1,2.84,2025-03-01
3b4463f0-0ecd-4de4-8a83-cd4d59d04ea6,Домогосподарство,205.08,194.92,2025-01-23
3bbd1e23-5997-4c19-9f7b-283105758e9b,Домогосподарство,154.65,136.64,2025-02-06
7e9507c4-00d0-4cd1-9a8c-48cf6abd4fd7,Підприємство,1687.71,20.16,2025-01-24
208f2939-daf9-4df4-992c-0c20ff0af6cd,Домогосподарство,53.18,26.06,2025-03-03
e42922ab-dc10-4252-8280-6e8a2846f6f0,Підприємство,1240.63,155.96,2025-02-07
446362f1-f1ae-424a-97a3-a5bfd3491a8a,Домогосподарство,299.9,102.79,2025-02-09
5005f27e-36fe-4254-b5b6-0363b6bd287c,Підприємство,3607.16,3357.56,2025-02-19
14cafbfe-cfe8-422d-b9c9-b6da97c71b58,Домогосподарство,140.69,41.02,2025-01-27
a9c8f733-91ce-4909-a626-46e786fabef7,Домогосподарство,371.03,178.9,2025-01-10
c912315e-2a85-4406-827d-dc9e514d9d52,Підприємство,4038.59,415.2,2025-01-23
4654365a-0e76-4ae9-b470-d310af62bca9,Підприємство,2783.11,55.94,2025-01-28
5dbddf24-ed32-4227-8644-163c208ed2b5,Домогосподарство,88.94,29.82,2025-01-03
412e6c05-1b14-4cb5-818f-d7226cf35e37,Домогосподарство,225.11,136.95,2025-02-24
adfe8541-90d8-420b-aa2d-f2e6bcbdcb23,Домогосподарство,231.33,19.37,2025-02-02
d6012399-d424-4e7b-9193-a24cff15ce83,Підприємство,2006.6,799.7,2025-01-18
01a06559-080d-4d56-9948-3ce64c7faa6a,Підприємство,3284.91,1512.68,2025-02-14
bc7e9ad8-218d-4766-b3cd-82a57211c767,Підприємство,2083.36,1188.15,2025-02-10
25efae69-89f2-4bee-bc3e-091b2a213ba3,Домогосподарство,464.87,40.48,2025-01-02
e511c448-b53c-4dd2-ba8b-d6b499129248,Підприємство,2594.84,2076.85,2025-01-06
c06f4c3c-aa65-4d43-be0e-f774048f21c0,Підприємство,4790.24,2805.98,2025-01-21
ebe81e7a-22dd-4f32-aab1-2438d4062904,Підприємство,3356.28,2635.99,2025-02-09
16258f2c-b878-4d65-a4ea-c74652a38f65,Підприємство,2499.32,999.35,2025-02-14
0a42c07e-50f2-4f8c-895c-1caa2400724e,Домогосподарство,365.27,158.21,2025-02-25
fbb53964-d94d-4376-901d-81bfd71a2113,Підприємство,2380.59,986.71,2025-01-05
31b49783-1c7c-4d05-8ed6-ee9e874da7d0,Підприємство,3566.5,1184.86,2025-01-15
ba229aa3-d55f-4694-b742-ae74a7ed02dc,Підприємство,1498.6,588.0,2025-01-20
367fc9ad-5b4e-4cca-91f3-8d6a5fae1ebb,Домогосподарство,303.73,206.64,2025-01-25
1f271327-648b-48ca-aba8-e662c711ed47,Домогосподарство,319.32,301.61,2025-02-22
1f083905-5743-4672-86c0-ac1a825672ca,Підприємство,4876.74,3604.95,2025-01-03
132cd8ef-6e11-4a28-b9e0-87d773ad51ba,Підприємство,2691.69,1787.78,2025-03-01
3fc40806-ba0a-409a-8302-42ec1a20f465,Підприємство,2910.71,412.45,2025-01-14
ffe5bf46-0c1c-4606-8eb0-c1ae573471c0,Домогосподарство,153.77,49.88,2025-01-27
327ed905-1e00-43e2-b266-ed3d56e40102,Підприємство,3365.0,1091.36,2025-02-23
6ea1cd5c-1944-4b0c-bb28-627238e17710,Підприємство,2007.9,1501.54,2025-01-08
