date,city,temperature,humidity,wind_speed
2018-07-05,Lviv,32.1,60.4,10.4
2024-11-24,Kyiv,-13.3,79.5,16.1
2016-09-23,Odesa,29.8,41.1,2.2
2020-11-06,Odesa,8.2,93.0,5.4
2018-11-30,Odesa,5.1,61.6,4.2
2023-01-15,Dnipro,22.5,82.0,17.3
2015-08-09,Dnipro,-15.1,99.1,7.1
2021-04-24,Kyiv,4.3,41.8,5.8
2023-05-21,Lviv,9.1,99.2,9.6
2022-01-06,Odesa,4.4,48.1,10.2
2017-07-08,Kyiv,9.1,90.4,17.5
2015-04-24,Odesa,11.2,83.5,4.0
2017-06-21,Dnipro,33.0,80.9,1.9
2019-08-05,Kharkiv,-1.5,75.3,11.0
2015-09-28,Kharkiv,15.4,57.4,12.1
2022-04-19,Dnipro,-8.6,32.1,15.3
2023-08-18,Odesa,9.8,67.4,9.5
2020-10-08,Dnipro,15.1,33.5,6.3
2019-02-12,Kyiv,6.0,97.9,3.6
2015-06-16,Odesa,-9.7,75.7,6.0
2020-04-12,Kharkiv,31.2,71.4,15.2
2018-02-09,Kyiv,25.7,80.2,3.4
2016-12-06,Kyiv,4.2,91.5,5.5
2024-10-01,Odesa,0.7,34.1,17.3
2015-03-30,Lviv,0.7,47.8,9.7
2020-05-29,Kyiv,29.3,53.5,17.5
2023-08-21,Kharkiv,8.0,97.9,8.0
2015-10-16,Dnipro,25.2,71.7,4.0
2022-04-07,Dnipro,19.8,79.4,15.3
2019-11-20,Lviv,-10.3,90.7,12.3
2017-07-29,Lviv,18.8,70.1,17.0
2021-03-18,Lviv,1.7,87.0,16.6
2016-02-29,Odesa,9.1,51.9,6.6
2024-06-05,Odesa,-6.9,83.4,5.4
2017-05-01,Dnipro,31.8,60.5,0.5
2022-08-13,Lviv,5.0,84.2,1.1
2020-06-20,Kharkiv,18.1,49.6,15.5
2018-03-14,Kyiv,-11.2,67.8,4.7
2021-05-29,Lviv,-12.3,52.8,16.0
2019-09-24,Odesa,32.2,48.7,9.1
2019-12-23,Kharkiv,-8.3,86.4,0.4
2024-03-12,Odesa,-0.1,83.5,9.1
2021-05-12,Odesa,1.2,44.9,3.5
2021-06-29,Odesa,4.5,43.8,1.1
2020-10-31,Odesa,-17.1,37.3,6.3
2015-08-30,Dnipro,13.6,96.7,10.4
2019-10-14,Kyiv,20.4,61.3,12.6
2019-08-31,Odesa,-19.1,97.6,10.2
2015-10-15,Odesa,-0.9,50.2,9.7
2023-04-06,Kyiv,-15.1,68.0,14.4
2016-01-13,Odesa,7.7,36.4,18.2
2016-09-16,Odesa,-14.8,34.0,7.1
2017-06-08,Lviv,0.8,62.7,12.7
2022-07-01,Lviv,32.7,71.9,2.2
2019-08-31,Kyiv,20.5,68.0,14.1
2019-08-06,Kyiv,31.3,97.4,14.6
2015-05-11,Kharkiv,-19.2,48.8,6.2
2020-06-21,Lviv,-0.1,51.9,8.9
2024-03-20,Kharkiv,22.6,34.5,1.6
2022-07-11,Kharkiv,29.4,63.6,11.5
2017-12-06,Lviv,-8.1,96.2,4.5
2022-07-26,Kyiv,-14.1,56.1,4.5
2022-08-24,Dnipro,23.0,63.9,4.6
2017-02-27,Kyiv,31.7,37.3,14.6
2024-02-13,Odesa,3.2,32.0,6.0
2020-03-20,Kyiv,29.3,33.4,13.8
2018-07-14,Lviv,27.6,97.3,9.3
2017-08-19,Lviv,8.2,67.9,0.4
2022-11-18,Dnipro,16.6,70.0,9.5
2019-10-21,Lviv,22.4,33.8,9.2
2017-05-15,Kharkiv,3.0,62.7,18.9
2020-06-01,Kyiv,16.3,70.2,12.2
2016-09-27,Lviv,4.3,55.4,11.7
2023-02-28,Odesa,24.7,53.0,5.1
2023-07-10,Odesa,3.1,76.5,14.7
2017-03-23,Kharkiv,-10.5,37.8,16.5
2017-12-28,Kharkiv,7.2,38.0,0.2
2016-06-30,Kharkiv,2.4,63.8,4.7
2024-09-26,Lviv,9.6,98.5,15.2
2016-04-06,Kharkiv,11.7,38.8,4.5
2022-07-30,Dnipro,6.5,49.4,1.2
2021-03-10,Kharkiv,-18.5,94.1,9.2
2015-06-30,Kharkiv,25.2,85.3,0.9
2019-01-15,Kharkiv,29.6,91.6,10.4
2024-03-31,Dnipro,-6.9,99.5,14.8
2023-09-12,Kharkiv,22.6,30.2,13.9
2015-05-22,Kyiv,27.7,54.4,9.3
2017-06-19,Odesa,11.2,40.7,4.7
2019-08-28,Dnipro,-16.2,96.4,2.0
2023-03-22,Lviv,30.2,81.6,2.3
2023-05-07,Dnipro,-1.4,91.6,14.3
2023-08-12,Lviv,-4.5,31.9,4.4
2016-06-27,Dnipro,26.2,30.8,14.4
2022-05-23,Dnipro,14.8,79.8,11.5
2015-07-27,Dnipro,-14.6,48.6,7.9
2016-06-26,Kharkiv,10.0,32.0,10.8
2020-02-29,Odesa,-8.2,46.3,0.8
2017-01-19,Kharkiv,33.7,50.9,2.4
2021-12-02,Lviv,-12.3,92.0,15.2
2020-08-06,Kyiv,4.6,33.6,0.1
2022-05-31,Lviv,14.1,95.3,1.2
2021-10-31,Odesa,21.3,58.2,4.5
2020-04-28,Kharkiv,-13.8,39.9,7.8
2015-03-08,Kyiv,27.7,65.3,7.8
2015-05-07,Dnipro,10.3,50.3,7.3
2024-10-09,Kyiv,33.8,99.9,11.2
2015-06-26,Odesa,-12.4,52.3,20.0
2016-04-03,Lviv,-11.5,51.6,15.0
2017-07-25,Kharkiv,-1.3,71.6,4.5
2017-05-30,Kyiv,25.9,88.7,9.8
2020-08-10,Odesa,-16.7,36.2,13.1
2023-03-25,Lviv,-9.0,96.5,14.1
2019-05-04,Lviv,-7.9,96.4,19.9
2021-04-05,Odesa,34.4,52.0,7.6
2022-08-21,Odesa,26.0,64.4,4.8
2017-04-30,Kharkiv,-10.1,76.7,1.2
2019-01-30,Odesa,24.4,82.2,5.4
2021-01-09,Kharkiv,-13.1,58.4,19.6
2023-01-29,Dnipro,1.5,82.8,15.1
2019-01-15,Dnipro,28.0,33.6,18.6
2015-05-06,Lviv,5.5,85.1,1.5
2018-11-15,Lviv,23.0,85.2,16.6
2024-01-29,Odesa,12.7,33.4,14.4
2021-04-07,Lviv,33.7,36.2,6.9
2017-02-05,Lviv,0.2,81.1,6.8
2024-03-12,Lviv,-18.6,30.1,1.3
2023-03-25,Kyiv,21.7,72.2,3.6
2017-09-30,Kyiv,-15.9,38.8,16.1
2018-03-28,Kyiv,-14.1,54.2,3.7
2016-06-20,Dnipro,-8.5,97.9,4.2
2023-05-26,Odesa,-6.1,51.2,5.9
2024-06-11,Odesa,18.8,40.3,3.9
2018-08-10,Kyiv,30.8,90.3,4.4
2016-11-30,Kyiv,21.7,46.8,19.0
2022-11-01,Kharkiv,31.3,93.2,11.6
2018-02-07,Lviv,19.9,75.6,8.9
2017-09-04,Dnipro,29.0,66.8,5.6
2018-02-15,Dnipro,22.0,59.8,16.0
2022-06-20,Dnipro,22.8,85.0,19.1
2020-03-17,Kyiv,-15.0,78.4,6.0
2022-12-21,Kyiv,-0.1,84.4,9.1
2015-06-12,Dnipro,-3.0,93.0,0.6
2018-12-27,Kharkiv,-11.0,39.7,3.6
2019-08-06,Kyiv,16.8,81.6,18.4
2020-09-10,Kharkiv,-4.8,81.4,17.1
2017-03-31,Kharkiv,14.3,80.1,18.0
2018-01-01,Kharkiv,-8.3,38.5,13.9
2015-12-30,Dnipro,28.4,33.4,11.6
2020-06-23,Lviv,-17.0,84.5,18.1
2018-09-04,Kharkiv,22.9,78.0,1.9
2018-11-04,Dnipro,-12.6,74.5,12.8
2017-03-21,Odesa,15.1,38.1,3.4
2024-10-18,Lviv,-7.7,63.6,7.7
2023-09-21,Dnipro,29.9,45.3,4.0
2024-04-20,Lviv,-16.5,46.0,5.2
2016-01-13,Kyiv,19.6,83.2,12.2
2024-09-15,Kyiv,-17.9,67.8,8.1
2023-01-19,Dnipro,3.6,82.4,7.1
2023-09-06,Lviv,-15.3,49.9,10.8
2023-02-28,Kyiv,13.9,69.1,6.9
2022-01-15,Odesa,13.8,34.5,12.3
2024-04-01,Odesa,21.7,86.8,1.5
2018-06-06,Dnipro,-0.0,66.4,16.3
2021-12-03,Lviv,14.8,78.9,2.2
2024-06-14,Kyiv,4.1,55.8,19.0
2023-01-08,Lviv,25.8,97.4,16.5
2024-07-28,Odesa,15.4,52.4,10.2
2017-05-07,Lviv,13.4,48.9,12.0
2023-06-09,Kharkiv,1.0,96.3,13.1
2022-05-02,Dnipro,10.1,39.0,12.0
2015-10-29,Odesa,-2.2,41.2,8.3
2022-09-25,Lviv,23.3,35.5,12.5
2016-12-28,Lviv,9.9,76.1,19.9
2022-09-04,Lviv,24.0,93.4,3.6
2016-10-12,Kharkiv,20.8,46.6,15.6
2023-05-23,Odesa,-1.3,39.7,10.4
2021-12-03,Dnipro,-1.2,30.5,7.9
2021-02-02,Dnipro,19.8,45.0,5.3
2021-12-26,Dnipro,-5.1,91.1,13.4
2024-12-20,Kyiv,11.1,79.8,18.0
2024-02-29,Kyiv,5.1,36.9,13.3
2019-01-04,Odesa,17.8,61.3,11.8
2015-05-27,Lviv,18.6,30.7,19.3
2024-10-12,Kyiv,8.8,70.4,12.8
2021-06-29,Kharkiv,34.5,52.3,19.2
2015-07-05,Kharkiv,-9.1,64.6,1.2
2017-03-04,Odesa,-13.8,82.8,3.9
2015-05-28,Kharkiv,0.7,52.6,16.5
2015-05-23,Kharkiv,18.1,69.9,1.4
2017-12-29,Odesa,-8.3,53.0,0.9
2019-03-15,Lviv,22.0,68.8,13.3
2024-04-07,Kharkiv,-2.0,51.3,8.9
2023-02-11,Dnipro,16.0,48.5,11.6
2020-10-14,Kharkiv,11.3,53.5,1.1
2017-04-10,Kyiv,26.5,69.1,17.6
2016-07-14,Lviv,-16.2,42.3,2.7
2024-02-03,Kyiv,18.9,72.7,10.2
2021-06-16,Lviv,21.2,36.6,5.4
2023-08-07,Dnipro,0.2,93.1,18.6
2016-04-17,Kharkiv,-1.8,70.1,10.2
2019-04-06,Kharkiv,11.1,77.2,16.5
2022-04-01,Lviv,34.9,59.8,15.1
2018-02-07,Dnipro,16.8,32.8,12.3
2020-07-22,Kharkiv,26.0,85.3,0.2
2018-04-17,Lviv,22.9,61.6,18.7
2020-09-29,Kyiv,25.6,63.3,1.3
2017-11-13,Lviv,-8.6,53.6,5.2
2018-10-16,Odesa,-18.9,83.8,1.3
2021-04-18,Odesa,5.9,73.9,17.9
2017-12-25,Kharkiv,6.3,92.3,6.8
2024-02-08,Lviv,-5.0,72.7,7.1
2023-07-06,Odesa,-8.8,84.5,14.7
2016-10-15,Kyiv,15.3,43.6,15.1
2021-08-25,Lviv,22.8,71.8,15.5
2024-05-11,Kharkiv,14.3,56.3,14.8
2022-06-14,Kharkiv,-5.3,81.1,7.1
2023-08-02,Kyiv,29.8,72.1,14.6
2016-12-10,Kharkiv,2.9,95.8,15.4
2016-08-15,Kyiv,5.0,71.4,4.0
2017-08-15,Kharkiv,17.2,40.6,17.2
2020-04-30,Kyiv,-4.6,45.9,3.0
2021-01-07,Dnipro,2.3,59.2,5.8
2019-10-22,Dnipro,29.9,60.7,13.9
2021-01-05,Dnipro,12.0,87.2,17.7
2024-07-07,Dnipro,-9.1,99.2,9.8
2017-12-26,Lviv,-2.6,79.3,12.1
2024-12-05,Lviv,-9.1,91.0,10.4
2022-10-12,Odesa,-1.0,96.1,4.4
2017-07-30,Dnipro,24.3,91.2,13.4
2020-07-13,Odesa,-19.2,54.6,16.4
2019-08-10,Dnipro,-14.5,77.0,16.8
2020-12-03,Odesa,-8.7,30.1,3.2
2015-06-20,Lviv,-8.9,49.8,7.3
2015-07-31,Lviv,1.8,69.2,16.8
2023-12-30,Kharkiv,33.1,91.0,4.2
2020-12-17,Lviv,28.1,32.9,7.9
2017-07-08,Lviv,19.2,61.9,14.2
2023-12-10,Lviv,27.9,82.7,2.5
2022-07-04,Odesa,-9.3,70.3,15.0
2021-12-13,Kyiv,-6.8,86.3,4.4
2019-01-02,Kyiv,30.7,65.7,12.5
2020-12-12,Odesa,-9.5,61.5,16.7
2020-11-28,Kyiv,33.9,99.3,5.9
2015-03-28,Dnipro,14.6,96.3,13.0
2022-01-15,Dnipro,2.2,40.4,18.1
2018-05-15,Kyiv,31.0,64.2,13.4
2019-12-28,Lviv,12.2,46.5,0.7
2016-05-20,Dnipro,32.6,97.2,2.2
2021-12-20,Lviv,14.6,72.1,17.9
2019-03-12,Kyiv,-18.7,63.5,18.5
2024-11-29,Dnipro,15.0,89.5,6.7
2019-03-01,Kharkiv,0.8,30.0,1.7
2020-07-15,Odesa,9.1,92.3,5.7
2019-11-03,Kyiv,27.1,89.8,9.4
2021-08-31,Odesa,24.0,58.1,5.2
2018-01-30,Dnipro,14.7,52.0,10.2
2020-02-09,Dnipro,13.2,34.6,19.1
2020-07-26,Odesa,-7.5,74.7,13.7
2019-05-09,Kyiv,-15.5,48.9,1.0
2022-11-29,Lviv,18.2,85.6,7.6
2022-08-13,Lviv,11.7,40.6,7.9
2015-02-05,Kharkiv,11.9,93.5,0.7
2023-12-19,Kharkiv,16.6,54.3,2.6
2024-12-08,Dnipro,-19.2,62.8,7.5
2022-10-10,Kharkiv,13.0,91.0,3.6
2017-04-26,Kyiv,-16.5,79.4,19.4
2020-02-15,Kyiv,0.6,78.4,11.5
2021-05-06,Lviv,9.5,66.3,15.1
2018-11-10,Odesa,26.2,43.2,11.1
2024-05-28,Kyiv,13.4,58.8,8.1
2015-05-14,Lviv,9.0,73.5,11.8
2024-10-25,Lviv,-14.9,31.0,2.5
2020-12-18,Odesa,9.7,51.1,16.9
2015-08-27,Kyiv,20.7,37.2,4.9
2022-01-13,Dnipro,1.7,63.8,13.7
2024-07-01,Kyiv,10.8,47.0,1.9
2023-02-09,Odesa,17.1,37.5,4.6
2023-05-06,Kyiv,33.5,34.5,5.9
2021-03-16,Kyiv,-12.0,38.8,18.2
2023-08-27,Lviv,23.5,55.7,10.6
2023-11-09,Dnipro,21.6,50.9,11.1
2019-04-12,Odesa,28.0,79.4,5.5
2016-03-11,Dnipro,27.6,41.3,4.1
2022-07-25,Kyiv,2.3,79.7,10.3
2016-02-22,Dnipro,33.8,84.2,0.3
2021-12-29,Lviv,12.9,36.0,19.3
2017-02-03,Kharkiv,20.2,55.6,5.0
2023-07-20,Odesa,7.7,42.4,0.2
2016-03-06,Kyiv,-14.0,41.6,16.1
2019-03-16,Odesa,6.8,55.7,11.5
2018-07-11,Lviv,-9.1,62.8,16.9
2016-11-21,Odesa,-14.8,97.1,10.0
2023-09-13,Kyiv,-5.0,89.6,6.0
2021-06-29,Odesa,13.2,95.1,9.1
2024-07-14,Dnipro,15.5,67.0,6.2
2024-11-29,Kyiv,-11.1,77.7,2.3
2020-02-10,Dnipro,-6.3,71.1,14.3
2017-05-25,Dnipro,15.7,60.0,2.0
2021-03-05,Kyiv,29.2,72.6,5.7
2017-10-14,Lviv,22.6,45.5,6.5
2024-08-05,Odesa,31.5,77.1,7.3
2022-07-18,Kyiv,-18.3,69.6,7.0
2022-07-19,Odesa,-12.1,49.2,4.8
2018-03-02,Lviv,-8.9,63.1,9.0
2016-11-20,Kyiv,-16.3,58.0,2.6
2015-07-23,Kyiv,31.7,82.4,17.5
2016-10-18,Lviv,8.3,90.9,16.6
2024-05-29,Dnipro,-14.7,41.7,3.4
2022-11-23,Kharkiv,34.5,31.7,12.9
2023-10-22,Kyiv,18.7,36.4,16.3
2015-08-01,Kharkiv,16.3,90.3,10.5
2021-11-28,Kharkiv,7.9,91.0,3.0
2020-04-24,Odesa,22.3,46.4,19.7
2017-10-17,Kharkiv,14.8,87.0,11.7
2021-11-24,Dnipro,-19.0,55.4,10.3
2023-02-28,Dnipro,14.7,47.3,17.0
2016-10-27,Odesa,33.1,32.1,19.1
2024-08-06,Odesa,7.1,31.3,19.9
2023-08-26,Dnipro,-10.9,88.9,13.6
2018-11-30,Kyiv,6.6,76.7,7.7
2019-10-14,Kharkiv,11.4,88.8,11.0
2023-12-24,Kyiv,-19.2,80.8,9.4
2021-10-17,Kyiv,-1.0,79.9,7.2
2020-09-17,Dnipro,25.6,38.9,10.7
2024-02-20,Kharkiv,21.8,75.5,11.0
2023-02-12,Kharkiv,-17.0,53.3,12.0
2020-02-17,Odesa,-14.0,59.2,14.6
2023-09-10,Lviv,14.5,49.0,11.0
2021-11-11,Lviv,7.1,61.1,8.6
2015-08-14,Kharkiv,17.9,59.1,16.8
2024-02-05,Dnipro,22.7,70.0,19.5
2016-06-01,Lviv,14.9,60.1,3.6
2024-12-20,Lviv,-12.0,81.7,5.9
2016-02-18,Kharkiv,9.4,32.2,13.9
2018-12-21,Lviv,-9.6,93.4,2.5
2021-01-21,Dnipro,18.9,97.7,2.9
2023-09-02,Kharkiv,-9.9,61.8,16.1
2018-04-19,Kharkiv,29.5,81.4,5.9
2020-11-22,Kyiv,14.8,80.8,12.4
2022-08-01,Lviv,35.0,31.0,3.4
2015-04-27,Lviv,1.2,31.9,14.0
2018-08-01,Kharkiv,24.0,55.7,2.8
2020-08-06,Dnipro,26.5,84.2,10.3
2024-04-07,Kyiv,0.3,76.7,7.2
2015-08-10,Lviv,17.3,48.3,11.3
2024-08-31,Kharkiv,33.5,58.2,18.3
2016-04-14,Lviv,-2.6,78.5,4.8
2016-06-13,Kharkiv,-18.5,66.3,19.3
2017-04-10,Dnipro,27.8,49.3,7.3
2019-01-22,Kharkiv,25.2,54.6,9.6
2019-04-26,Odesa,10.0,51.8,19.6
2020-02-04,Lviv,1.3,88.0,11.0
2020-10-25,Odesa,20.9,68.0,14.4
2016-10-18,Kharkiv,-2.0,80.8,12.3
2024-09-24,Kyiv,10.3,81.7,13.8
2022-12-03,Kharkiv,0.5,68.8,15.7
2023-11-02,Kharkiv,-17.1,94.1,15.6
2020-07-29,Dnipro,-12.5,38.0,12.5
2019-10-12,Dnipro,32.0,32.2,12.3
2015-11-02,Odesa,-8.4,52.2,16.0
2023-06-30,Dnipro,7.3,96.6,7.5
2023-11-05,Kharkiv,1.9,48.8,11.0
2024-06-24,Dnipro,30.9,42.4,7.9
2022-07-20,Kharkiv,15.0,94.3,14.5
2019-12-30,Kharkiv,18.6,57.4,13.9
2021-02-13,Kyiv,35.0,73.9,14.5
2021-03-25,Kyiv,-11.9,89.7,19.0
2023-12-24,Odesa,3.2,76.1,11.3
2019-05-06,Kyiv,29.4,72.5,8.0
2020-02-06,Dnipro,-18.0,68.2,8.5
2016-09-14,Lviv,5.3,78.1,3.3
2020-07-09,Odesa,31.3,39.3,0.2
2022-01-29,Kharkiv,34.9,77.9,15.5
2015-05-17,Dnipro,3.9,34.9,16.2
2016-04-18,Odesa,-9.0,58.3,7.8
2015-03-15,Kyiv,10.5,52.2,13.4
2021-04-17,Kharkiv,8.4,62.3,11.8
2015-03-08,Kharkiv,-15.3,52.0,0.6
2024-01-08,Kharkiv,13.5,67.5,1.9
2015-11-09,Kyiv,25.7,52.3,10.5
2019-01-10,Lviv,-1.6,44.3,6.3
2017-07-04,Lviv,-11.5,37.3,2.8
2020-11-01,Dnipro,-3.1,79.2,5.4
2022-04-30,Dnipro,17.5,32.5,13.7
2020-01-22,Lviv,-16.2,69.5,16.8
2021-10-31,Odesa,11.8,72.8,13.0
2020-11-12,Odesa,-7.1,60.5,10.8
2017-04-03,Kharkiv,6.6,90.4,15.8
2019-06-24,Odesa,-6.2,96.3,5.3
2019-04-14,Lviv,18.2,84.0,2.9
2022-01-28,Kyiv,-16.0,66.4,1.2
2015-11-29,Lviv,10.2,49.2,8.7
2022-05-06,Dnipro,-18.8,41.3,1.4
2017-12-16,Kharkiv,19.1,53.4,17.7
2018-08-08,Lviv,6.9,44.9,16.3
2023-10-30,Dnipro,34.6,74.1,3.9
2020-04-01,Kharkiv,-11.0,39.4,2.5
2019-09-12,Kharkiv,-4.5,32.6,11.6
2021-10-30,Lviv,-12.9,83.3,8.1
2015-10-27,Dnipro,1.3,69.0,2.1
2015-08-12,Lviv,0.3,45.5,19.6
2019-07-28,Lviv,12.4,39.7,10.4
2016-11-23,Kyiv,34.8,84.0,7.0
2016-08-30,Dnipro,11.8,65.9,5.3
2019-04-09,Lviv,-2.4,79.1,11.8
2023-05-22,Odesa,9.1,62.7,13.4
2024-01-30,Kharkiv,18.8,74.8,4.3
2024-10-17,Dnipro,32.8,39.1,9.0
2019-08-15,Lviv,31.0,33.5,13.2
2015-07-30,Odesa,10.5,31.3,15.3
2016-07-14,Kyiv,14.6,46.4,11.3
2023-03-22,Dnipro,14.3,64.8,12.0
2019-05-21,Dnipro,2.1,87.3,18.7
2015-07-07,Dnipro,23.5,60.4,15.0
2016-09-01,Kharkiv,-0.3,47.6,5.2
2017-08-14,Odesa,-10.5,55.2,15.2
2019-05-24,Kyiv,25.7,67.7,1.3
2016-12-08,Dnipro,21.4,41.4,9.9
2022-04-18,Odesa,-13.1,57.9,14.6
2021-07-13,Lviv,5.8,54.6,6.7
2017-08-24,Lviv,23.2,37.1,9.3
2016-07-07,Kharkiv,29.1,37.6,9.5
2022-11-22,Dnipro,9.4,99.5,0.5
2021-11-27,Kharkiv,12.6,47.5,18.2
2023-11-22,Kharkiv,4.9,81.9,13.9
2017-03-01,Dnipro,-4.4,69.5,9.6
2020-12-12,Kyiv,21.9,60.4,0.8
2018-11-14,Odesa,6.7,92.4,14.5
2016-04-19,Dnipro,-7.1,40.4,3.9
2017-11-22,Kyiv,34.8,57.7,12.1
2015-10-16,Dnipro,-3.5,36.7,12.0
2024-05-11,Dnipro,-0.6,42.0,14.4
2020-10-04,Odesa,8.1,62.2,4.7
2018-07-06,Kyiv,33.1,68.3,13.6
2016-02-13,Kharkiv,4.6,90.2,3.7
2023-11-29,Kyiv,6.6,62.8,19.9
2022-04-19,Dnipro,12.6,40.3,4.7
2015-11-14,Kharkiv,16.0,94.0,5.5
2018-03-18,Kyiv,-3.8,56.6,7.3
2015-03-14,Dnipro,-7.8,34.0,7.2
2016-09-14,Kharkiv,25.9,56.2,9.5
2015-07-16,Odesa,30.7,75.7,11.2
2024-10-31,Odesa,32.6,69.3,6.4
2015-04-17,Dnipro,-4.2,86.6,12.0
2024-10-16,Kyiv,-3.9,34.1,7.4
2022-12-07,Kyiv,24.9,42.3,1.9
2021-10-22,Kyiv,-16.4,42.0,1.8
2019-09-13,Dnipro,25.7,43.1,4.5
2021-02-23,Lviv,27.0,80.9,3.5
2023-01-18,Lviv,2.3,76.1,18.6
2022-04-28,Kyiv,19.5,86.1,13.3
2020-10-08,Dnipro,-15.8,78.6,9.6
2023-12-14,Dnipro,31.5,34.9,1.5
2021-09-05,Kyiv,12.0,45.2,1.1
2015-05-09,Kharkiv,18.0,94.1,0.0
2020-10-13,Kharkiv,-17.3,90.4,9.4
2018-03-24,Kharkiv,10.9,66.9,1.6
2019-03-31,Kharkiv,24.5,84.7,7.7
2016-10-20,Dnipro,1.5,30.0,19.9
2017-07-10,Kharkiv,32.6,37.0,6.8
2020-01-20,Odesa,-12.5,48.6,8.8
2023-05-22,Dnipro,29.5,97.4,1.1
2015-12-22,Odesa,16.4,43.2,19.8
2017-09-11,Dnipro,-9.6,57.1,13.9
2023-06-08,Kharkiv,30.9,52.3,15.7
2022-03-28,Kyiv,-6.4,54.7,4.4
2023-10-13,Lviv,16.1,45.0,9.0
2019-12-15,Dnipro,13.8,62.5,10.0
2019-01-23,Dnipro,6.4,75.5,7.1
2019-06-24,Dnipro,-2.7,38.2,18.4
2016-03-26,Dnipro,26.8,47.2,3.1
2017-11-28,Dnipro,-9.3,84.8,10.6
2016-11-03,Kharkiv,17.1,76.6,17.8
2023-05-28,Kyiv,31.8,49.3,14.6
2020-06-08,Lviv,-17.9,67.9,7.1
2023-08-18,Kharkiv,23.5,38.9,11.6
2024-10-25,Kharkiv,30.5,57.3,3.0
2021-03-16,Kharkiv,1.3,74.3,3.6
2018-10-25,Lviv,12.9,70.9,13.1
2015-10-18,Dnipro,26.4,58.0,8.6
2021-07-19,Odesa,-5.7,94.6,13.1
2019-08-24,Kharkiv,10.3,91.5,5.1
2017-11-23,Lviv,15.8,95.2,16.9
2017-10-02,Odesa,34.8,69.3,2.5
2018-05-24,Lviv,-12.9,79.5,0.9
2018-02-28,Kyiv,8.6,59.3,18.0
2020-08-24,Dnipro,34.6,93.8,3.7
2023-05-30,Lviv,-15.0,82.1,0.8
